,Season,Name,Team,G,PA,H,H/PA,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,,HR/FB,Barrel%*10,Pull%,Cent%,Oppo%
132,2015,Ian Kinsler,DET,154,675,185,0.274074074,0.323,0.254,0.339,0.407,0.127,0.323,0.026,0.264,,0.05,0.26,0.419,0.341,0.24
133,2016,Andrew McCutchen,PIT,153,675,153,0.226666667,0.297,0.225,0.358,0.417,0.126,0.366,0.076,0.417,,0.126,0.76,0.448,0.334,0.218
134,2015,Robinson Cano,SEA,156,674,179,0.265578635,0.316,0.242,0.505,0.253,0.045,0.301,0.069,0.457,,0.159,0.69,0.363,0.411,0.226
135,2021,Jonathan Schoop,DET,156,674,173,0.256676558,0.317,0.193,0.48,0.327,0.147,0.324,0.068,0.402,,0.135,0.68,0.386,0.376,0.239
136,2018,Nolan Arenado,COL,156,673,175,0.260029718,0.314,0.213,0.399,0.388,0.12,0.324,0.072,0.402,,0.207,0.72,0.398,0.368,0.234
137,2021,Matt Olson,OAK,156,673,153,0.227340267,0.269,0.165,0.398,0.437,0.124,0.356,0.127,0.484,,0.193,1.27,0.404,0.346,0.251
138,2015,A.J. Pollock,ARI,157,673,192,0.285289747,0.338,0.208,0.503,0.29,0.092,0.312,0.045,0.391,,0.132,0.45,0.388,0.369,0.244
139,2016,Kole Calhoun,LAA,157,672,161,0.239583333,0.309,0.221,0.38,0.399,0.068,0.318,0.052,0.399,,0.094,0.52,0.418,0.326,0.256
140,2016,Matt Kemp,- - -,156,672,167,0.248511905,0.297,0.205,0.399,0.397,0.047,0.372,0.104,0.378,,0.184,1.04,0.445,0.33,0.225
141,2016,Adam Jones,BAL,152,672,164,0.244047619,0.28,0.165,0.429,0.406,0.083,0.362,0.07,0.349,,0.141,0.7,0.404,0.361,0.236
142,2017,Eric Hosmer,KCR,162,671,192,0.286140089,0.351,0.222,0.556,0.222,0.072,0.395,0.062,0.389,,0.225,0.62,0.313,0.357,0.329
143,2021,Robbie Grossman,DET,156,671,133,0.198211624,0.286,0.243,0.295,0.462,0.08,0.303,0.076,0.339,,0.122,0.76,0.441,0.31,0.249
144,2015,Chris Davis,BAL,160,670,150,0.223880597,0.319,0.247,0.318,0.435,0.038,0.357,0.168,0.462,,0.294,1.68,0.559,0.265,0.176
145,2019,Matt Chapman,OAK,156,670,145,0.21641791,0.27,0.155,0.415,0.431,0.175,0.251,0.109,0.481,,0.19,1.09,0.424,0.346,0.23
146,2018,Brian Anderson,MIA,156,670,161,0.240298507,0.332,0.197,0.518,0.285,0.061,0.292,0.056,0.423,,0.083,0.56,0.384,0.354,0.261
147,2015,Evan Longoria,TBR,160,670,163,0.243283582,0.309,0.206,0.39,0.404,0.108,0.34,0.077,0.393,,0.108,0.77,0.419,0.321,0.26
148,2017,Nick Markakis,ATL,160,670,163,0.243283582,0.324,0.222,0.486,0.292,0.099,0.335,0.025,0.344,,0.056,0.25,0.333,0.366,0.3
149,2021,Kyle Seager,SEA,159,670,128,0.191044776,0.226,0.174,0.321,0.506,0.134,0.397,0.123,0.401,,0.156,1.23,0.435,0.341,0.224
150,2017,Edwin Encarnacion,CLE,157,669,143,0.213751868,0.271,0.211,0.371,0.418,0.101,0.364,0.103,0.422,,0.213,1.03,0.467,0.329,0.204
151,2015,Jose Abreu,CHW,154,668,178,0.266467066,0.333,0.207,0.473,0.321,0.105,0.304,0.089,0.416,,0.197,0.89,0.376,0.359,0.266
