,Season,Name,Team,G,PA,H,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,Pull%,Cent%,Oppo%,Spd,LDFB_EV
854,2016,Evan Gattis,HOU,128,499,112,0.273,0.179,0.41,0.41,0.113,0.326,0.102,0.354,0.466,0.367,0.167,1.9,0.468
855,2017,Salvador Perez,KCR,129,499,126,0.28,0.197,0.333,0.47,0.106,0.344,0.084,0.385,0.53,0.297,0.173,2.4,0.4635
856,2019,Todd Frazier,NYM,133,499,112,0.284,0.218,0.35,0.432,0.122,0.346,0.067,0.378,0.499,0.32,0.182,3,0.46
857,2018,Aaron Judge,NYY,112,498,115,0.368,0.233,0.417,0.35,0.054,0.357,0.154,0.541,0.402,0.312,0.286,3,0.4885
858,2018,Albert Pujols,LAA,117,498,114,0.247,0.223,0.402,0.375,0.179,0.345,0.057,0.407,0.469,0.352,0.179,1.9,0.468
859,2021,Christian Vazquez,BOS,138,498,118,0.301,0.215,0.407,0.378,0.141,0.327,0.026,0.309,0.322,0.359,0.319,3.9,0.451
860,2016,Coco Crisp,- - -,122,498,103,0.252,0.219,0.4,0.381,0.043,0.361,0.027,0.23,0.414,0.366,0.219,5.1,0.4425
861,2015,Brad Miller,SEA,144,497,113,0.307,0.202,0.484,0.314,0.084,0.277,0.043,0.401,0.329,0.354,0.317,5,0.4665
862,2019,Mark Canha,OAK,126,497,112,0.308,0.184,0.41,0.407,0.185,0.321,0.089,0.407,0.495,0.295,0.21,4.3,0.4715
863,2017,Scooter Gennett,CIN,141,497,136,0.339,0.211,0.413,0.376,0.085,0.347,0.06,0.352,0.424,0.338,0.238,4.3,0.4605
864,2017,Ben Zobrist,CHC,128,496,101,0.251,0.156,0.511,0.333,0.082,0.29,0.041,0.322,0.499,0.325,0.176,3.6,0.4535
865,2017,Josh Donaldson,TOR,113,496,112,0.289,0.167,0.41,0.423,0.109,0.317,0.127,0.441,0.471,0.33,0.199,1.6,0.485
866,2018,Matt Davidson,CHW,126,496,99,0.313,0.188,0.412,0.401,0.119,0.36,0.118,0.423,0.386,0.349,0.265,1,0.479
867,2015,Howie Kendrick,LAD,117,495,137,0.342,0.245,0.587,0.167,0,0.313,0.034,0.414,0.273,0.406,0.32,4.3,0.47
868,2016,Miguel Sano,MIN,116,495,103,0.329,0.202,0.34,0.458,0.042,0.324,0.134,0.485,0.363,0.393,0.244,2.5,0.4845
869,2016,Rajai Davis,CLE,134,495,113,0.299,0.19,0.45,0.36,0.104,0.299,0.028,0.299,0.436,0.313,0.251,7.8,0.449
870,2021,Garrett Hampson,COL,147,494,106,0.291,0.226,0.395,0.379,0.066,0.335,0.05,0.312,0.382,0.347,0.271,7.2,0.458
